Group	Breeds	ID
RJF	Gallus gallus jabouillei 	ypt2826
RJF	Gallus gallus jabouillei 	ypt2827
RJF	Gallus gallus jabouillei 	ypt2828
RJF	Gallus gallus spadiceus	ypt3001
RJF	Gallus gallus spadiceus	ypt3002
RJF	Gallus gallus spadiceus	ypt3003
RJF	Gallus gallus spadiceus	ypt3004
RJF	Gallus gallus spadiceus	ypt3005
RJF	Gallus gallus spadiceus	ypt3006
RJF	Gallus gallus spadiceus	ypt3007
RJF	Gallus gallus spadiceus	ypt3008
RJF	Gallus gallus spadiceus	ypt3009
RJF	Gallus gallus spadiceus	ypt3010
RJF	Gallus gallus spadiceus	ypt3011
RJF	Gallus gallus spadiceus	ypt3012
RJF	Gallus gallus spadiceus	ypt3016
RJF	Gallus gallus spadiceus	ypt3017
RJF	Gallus gallus spadiceus	ypt3028
RJF	Gallus gallus spadiceus	ypt3038
RJF	Gallus gallus spadiceus	ypt3040
RJF	Gallus gallus spadiceus	ypt3041
RJF	Gallus gallus spadiceus	ypt3042
RJF	Gallus gallus spadiceus	ypt3043
RJF	Gallus gallus spadiceus	ypt3044
RJF	Gallus gallus spadiceus	ypt3045
RJF	Gallus gallus spadiceus	ypt3046
RJF	Gallus gallus spadiceus	ypt3047
RJF	Gallus gallus spadiceus	ypt3050
RJF	Gallus gallus spadiceus	ypt3051
RJF	Gallus gallus spadiceus	ypt3052
RJF	Gallus gallus spadiceus	ypt3061
RJF	Gallus gallus spadiceus	ypt3069
RJF	Gallus gallus spadiceus	ypt3072
RJF	Gallus gallus jabouillei 	ypt3274A
RJF	Gallus gallus jabouillei 	Yt540
DC	Gallus_gallus_domesticus	4275
DC	Gallus_gallus_domesticus	4281
DC	Gallus_gallus_domesticus	4285
DC	Gallus_gallus_domesticus	4287
DC	Gallus_gallus_domesticus	4293
DC	Gallus_gallus_domesticus	4294
DC	Gallus_gallus_domesticus	4295
DC	Gallus_gallus_domesticus	4298
DC	Gallus_gallus_domesticus	4302
DC	Gallus_gallus_domesticus	4305
DC	Gallus_gallus_domesticus	4306
DC	Gallus_gallus_domesticus	4309
DC	Gallus_gallus_domesticus	4312
DC	Gallus_gallus_domesticus	4314
DC	Gallus_gallus_domesticus	4317
DC	Gallus_gallus_domesticus	4319
DC	Gallus_gallus_domesticus	4320
DC	Gallus_gallus_domesticus	4321
DC	Gallus_gallus_domesticus	4322
DC	Gallus_gallus_domesticus	4323
DC	Gallus_gallus_domesticus	4324
DC	Gallus_gallus_domesticus	4326
DC	Gallus_gallus_domesticus	4327
DC	Gallus_gallus_domesticus	4328
DC	Gallus_gallus_domesticus	4329
DC	Gallus_gallus_domesticus	4330
DC	Gallus_gallus_domesticus	4331
DC	Gallus_gallus_domesticus	4332
DC	Gallus_gallus_domesticus	4333
DC	Gallus_gallus_domesticus	4335
DC	Gallus_gallus_domesticus	4337
DC	Gallus_gallus_domesticus	4338
DC	Gallus_gallus_domesticus	4339
DC	Gallus_gallus_domesticus	4340
DC	Gallus_gallus_domesticus	4341
DC	Gallus_gallus_domesticus	4342
DC	Gallus_gallus_domesticus	4343
DC	Gallus_gallus_domesticus	4344
DC	Gallus_gallus_domesticus	4345
DC	Gallus_gallus_domesticus	4346
DC	Gallus_gallus_domesticus	4347
DC	Gallus_gallus_domesticus	4348
DC	Gallus_gallus_domesticus	4349
DC	Gallus_gallus_domesticus	4350
DC	Gallus_gallus_domesticus	4351
DC	Gallus_gallus_domesticus	4352
DC	Gallus_gallus_domesticus	4353
DC	Gallus_gallus_domesticus	4355
DC	Gallus_gallus_domesticus	4357
DC	Gallus_gallus_domesticus	4363
DC	Gallus_gallus_domesticus	4367
DC	Gallus_gallus_domesticus	4370
DC	Gallus_gallus_domesticus	4377
DC	Gallus_gallus_domesticus	4378
DC	Gallus_gallus_domesticus	4382
DC	Gallus_gallus_domesticus	4383
DC	Gallus_gallus_domesticus	4389
DC	Gallus_gallus_domesticus	4403
DC	Gallus_gallus_domesticus	4404
DC	Gallus_gallus_domesticus	4407
DC	Gallus_gallus_domesticus	4413
DC	Gallus_gallus_domesticus	4423
DC	Gallus_gallus_domesticus	4426
DC	Gallus_gallus_domesticus	4427
DC	Gallus_gallus_domesticus	4429
DC	Gallus_gallus_domesticus	4432
DC	Gallus_gallus_domesticus	4433
DC	Gallus_gallus_domesticus	4434
DC	Gallus_gallus_domesticus	4436
DC	Gallus_gallus_domesticus	4437
DC	Gallus_gallus_domesticus	4439
DC	Gallus_gallus_domesticus	4440
DC	Gallus_gallus_domesticus	4441
DC	Gallus_gallus_domesticus	4442
DC	Gallus_gallus_domesticus	4443
DC	Gallus_gallus_domesticus	4444
DC	Gallus_gallus_domesticus	4446
DC	Gallus_gallus_domesticus	4447
DC	Gallus_gallus_domesticus	4452
DC	Gallus_gallus_domesticus	4453
DC	Gallus_gallus_domesticus	4456
DC	Gallus_gallus_domesticus	4457
DC	Gallus_gallus_domesticus	4458
DC	Gallus_gallus_domesticus	4460
DC	Gallus_gallus_domesticus	4461
DC	Gallus_gallus_domesticus	4463
DC	Gallus_gallus_domesticus	4465
DC	Gallus_gallus_domesticus	4468
DC	Gallus_gallus_domesticus	4476
DC	Gallus_gallus_domesticus	4487
DC	Gallus_gallus_domesticus	4490
DC	Gallus_gallus_domesticus	4494
DC	Gallus_gallus_domesticus	4509
DC	Gallus_gallus_domesticus	4517
DC	Gallus_gallus_domesticus	4518
DC	Gallus_gallus_domesticus	4527
DC	Gallus_gallus_domesticus	4537
DC	Gallus_gallus_domesticus	4538
DC	Gallus_gallus_domesticus	4541
DC	Gallus_gallus_domesticus	100S
DC	Gallus_gallus_domesticus	101S
DC	Gallus_gallus_domesticus	102S
DC	Gallus_gallus_domesticus	103S
DC	Gallus_gallus_domesticus	104S
DC	Gallus_gallus_domesticus	105S
DC	Gallus_gallus_domesticus	106S
DC	Gallus_gallus_domesticus	107S
DC	Gallus_gallus_domesticus	108S
DC	Gallus_gallus_domesticus	109S
DC	Gallus_gallus_domesticus	10S
DC	Gallus_gallus_domesticus	110S
DC	Gallus_gallus_domesticus	111S
DC	Gallus_gallus_domesticus	112S
DC	Gallus_gallus_domesticus	113S
DC	Gallus_gallus_domesticus	114S
DC	Gallus_gallus_domesticus	116S
DC	Gallus_gallus_domesticus	117S
DC	Gallus_gallus_domesticus	118S
DC	Gallus_gallus_domesticus	119S
DC	Gallus_gallus_domesticus	11S
DC	Gallus_gallus_domesticus	120S
DC	Gallus_gallus_domesticus	121S
