Group	Breeds	ID
RJF	Wild_boar	SAMN02298086
DC	Luchuan	SAMN02298087
DC	Luchuan	SAMN02298088
DC	Luchuan	SAMN02298089
DC	Luchuan	SAMN02298090
DC	Luchuan	SAMN02298091
DC	Luchuan	SAMN02298092
DC	Tibetan	SAMN02298093
DC	Tibetan	SAMN02298094
DC	Tibetan	SAMN02298095
DC	Tibetan	SAMN02298096
DC	Tibetan	SAMN02298097
DC	Tibetan	SAMN02298098
DC	Tibetan	SAMN02298099
DC	Tibetan	SAMN02298100
DC	Tibetan	SAMN02298101
DC	Tibetan	SAMN02298102
DC	Tibetan	SAMN02298103
DC	Tibetan	SAMN02298104
DC	Tibetan	SAMN02298105
DC	Tibetan	SAMN02298106
DC	Tibetan	SAMN02298107
DC	Tibetan	SAMN02298108
DC	Tibetan	SAMN02298109
DC	Tibetan	SAMN02298110
DC	Tibetan	SAMN02298111
DC	Tibetan	SAMN02298112
DC	Tibetan	SAMN02298113
DC	Tibetan	SAMN02298114
DC	Hetao	SAMN02298115
DC	Hetao	SAMN02298116
DC	Hetao	SAMN02298117
DC	Hetao	SAMN02298118
DC	Hetao	SAMN02298119
DC	Hetao	SAMN02298120
DC	Min	SAMN02298121
DC	Min	SAMN02298122
DC	Min	SAMN02298123
DC	Min	SAMN02298124
DC	Min	SAMN02298125
DC	Min	SAMN02298126
DC	Bamaxiang	SAMN02298127
DC	Bamaxiang	SAMN02298128
DC	Bamaxiang	SAMN02298129
DC	Bamaxiang	SAMN02298130
DC	Bamaxiang	SAMN02298131
DC	Bamaxiang	SAMN02298132
DC	Laiwu	SAMN02298133
DC	Laiwu	SAMN02298134
DC	Laiwu	SAMN02298135
DC	Laiwu	SAMN02298136
DC	Laiwu	SAMN02298137
DC	Laiwu	SAMN02298138
DC	Erhualian	SAMN02298139
DC	Erhualian	SAMN02298140
DC	Erhualian	SAMN02298141
DC	Rongchang	SAMN02460622
DC	Rongchang	SAMN02460623
DC	Rongchang	SAMN02460625
DC	Rongchang	SAMN02460626
DC	Rongchang	SAMN02460627
DC	Songliao_black_pig	SAMN02570571
DC	Songliao_black_pig	SAMN02570572
RJF	Wild_boar	SAMN03031171
RJF	Wild_boar	SAMN03031172
RJF	Wild_boar	SAMN03031173
RJF	Wild_boar	SAMN03031174
RJF	Wild_boar	SAMN03031175
RJF	Wild_boar	SAMN03031176
RJF	Wild_boar	SAMN03031177
RJF	Wild_boar	SAMN03031178
RJF	Wild_boar	SAMN03031179
RJF	Wild_boar	SAMN03031180
DC	Korean_black_pig	SAMN03160621
DC	Korean_black_pig	SAMN03160622
DC	Korean_black_pig	SAMN03160623
DC	Korean_black_pig	SAMN03160624
DC	Korean_black_pig	SAMN03160625
DC	Korean_black_pig	SAMN03160626
DC	Korean_black_pig	SAMN03160627
DC	Korean_black_pig	SAMN03160628
DC	Korean_black_pig	SAMN03160629
DC	Korean_black_pig	SAMN03160630
DC	Korean_black_pig	SAMN03160631
DC	Korean_black_pig	SAMN03160632
DC	Korean_black_pig	SAMN03160633
DC	Korean_black_pig	SAMN03160634
DC	Rongchang	SAMN03331745
DC	Min	SAMN04366603
DC	Min	SAMN04366604
DC	Min	SAMN04366605
DC	Min	SAMN04366606
DC	Min	SAMN04366607
DC	Min	SAMN04366608
DC	Min	SAMN04366610
DC	Min	SAMN04366612
RJF	Wild_boar	SAMN04366613
RJF	Wild_boar	SAMN04366614
RJF	Wild_boar	SAMN04366615
DC	Enshi_black	SAMN04538376
DC	Enshi_black	SAMN04538598
DC	Enshi_black	SAMN04538599
DC	Rongchang	SAMN05162341
RJF	Wild_boar	SAMN05362553
DC	Rongchang	SAMN06115544
DC	Rongchang	SAMN06115550
DC	Rongchang	SAMN06115552
DC	Taihu	SAMN06166523
DC	Meishan	SAMN06556517
DC	Min	SAMN06556581
DC	Rongchang	SAMN06560025
DC	Tibetan	SAMN06560051
DC	Diannanxiaoer	SAMN06560373
DC	Meishan	SAMN06560428
DC	Diannanxiaoer	SAMN06560458
DC	Meishan	SAMN06562578
DC	Meishan	SAMN06562584
DC	Meishan	SAMN06562589
DC	Meishan	SAMN06562602
DC	Meishan	SAMN06562956
DC	Daweizi	SAMN06562957
DC	Meishan	SAMN06562959
DC	Meishan	SAMN06562971
DC	Meishan	SAMN06562977
DC	Meishan	SAMN06562984
DC	Meishan	SAMN06563284
DC	Meishan	SAMN06563369
RJF	Wild_boar	SAMN06563372
DC	Meishan	SAMN06563583
DC	Meishan	SAMN06563661
DC	Meishan	SAMN06564163
DC	Meishan	SAMN06579151
DC	Meishan	SAMN06579197
DC	Meishan	SAMN06579317
DC	Meishan	SAMN06579320
DC	Meishan	SAMN06603310
DC	Meishan	SAMN06603321
DC	Meishan	SAMN06603369
DC	Meishan	SAMN06603407
DC	Meishan	SAMN06603524
DC	Meishan	SAMN06603626
DC	Meishan	SAMN06606756
DC	Meishan	SAMN06606917
DC	Meishan	SAMN06607518
DC	Meishan	SAMN06610205
DC	Meishan	SAMN06611050
DC	Meishan	SAMN07344466
DC	Wuzhishan	SAMN08689107
DC	Erhualian	SAMN09930385
DC	Erhualian	SAMN09930386
DC	Erhualian	SAMN09930387
DC	Erhualian	SAMN09930388
DC	Erhualian	SAMN09930389
DC	Erhualian	SAMN09930390
DC	Erhualian	SAMN09930391
DC	Erhualian	SAMN09930392
DC	Erhualian	SAMN09930393
DC	Erhualian	SAMN09930394
DC	Erhualian	SAMN09930395
DC	Erhualian	SAMN09930396
DC	Erhualian	SAMN09930397
DC	Erhualian	SAMN09930398
DC	Erhualian	SAMN09930399
DC	Erhualian	SAMN09930400
DC	Erhualian	SAMN09930401
DC	Tongcheng	SAMN09951281
DC	Tongcheng	SAMN09951282
DC	Tongcheng	SAMN09951283
DC	Tongcheng	SAMN09951284
DC	Tongcheng	SAMN09951285
DC	Tongcheng	SAMN09951286
DC	Wannan_Black	SAMN11019701
DC	Wannan_Black	SAMN11019702
DC	Wannan_Black	SAMN11019703
DC	Wannan_Black	SAMN11019704
DC	Wannan_Black	SAMN11019705
DC	Wannan_Black	SAMN11019706
DC	Wannan_Black	SAMN11019707
DC	Wannan_Black	SAMN11019708
DC	Wannan_Black	SAMN11019709
DC	Wannan_Black	SAMN11019710
DC	Wannan_Black	SAMN11019711
DC	Wannan_Black	SAMN11019712
DC	Wannan_Black	SAMN11019713
DC	Wannan_Black	SAMN11019714
DC	Wannan_Black	SAMN11019715
DC	Wannan_Black	SAMN11019716
DC	Wannan_Black	SAMN11019717
DC	Wannan_Black	SAMN11019718
DC	Wannan_Black	SAMN11019719
DC	Wannan_Black	SAMN11019720
DC	Erhualian	SAMN12122746
DC	Tibetan	SAMN12122783
DC	Tibetan	SAMN12122787
DC	Tibetan	SAMN12122788
DC	Tibetan	SAMN12122792
DC	Tibetan	SAMN12122793
DC	Tibetan	SAMN12122794
DC	Tibetan	SAMN12122795
DC	Tibetan	SAMN12122796
DC	Tibetan	SAMN12122797
DC	Tibetan	SAMN12122798
DC	Tibetan	SAMN12122799
DC	Tibetan	SAMN12122800
DC	Tibetan	SAMN12122801
DC	Tibetan	SAMN12122804
DC	Tibetan	SAMN12122805
DC	Meishan	SAMN12229131
DC	MiniLEWE	SAMN14331803
DC	MiniLEWE	SAMN14331805
DC	MiniLEWE	SAMN14331806
DC	MiniLEWE	SAMN14331807
DC	MiniLEWE	SAMN14331808
DC	MiniLEWE	SAMN14331809
DC	MiniLEWE	SAMN14331810
DC	MiniLEWE	SAMN14331811
DC	MiniLEWE	SAMN14331812
DC	MiniLEWE	SAMN14331814
DC	MiniLEWE	SAMN14331815
DC	MiniLEWE	SAMN14331816
DC	MiniLEWE	SAMN14331817
DC	Anqing_Six-end-white	SAMN15009465
DC	Anqing_Six-end-white	SAMN15009466
DC	Anqing_Six-end-white	SAMN15009467
DC	Anqing_Six-end-white	SAMN15009468
DC	Anqing_Six-end-white	SAMN15009469
DC	Anqing_Six-end-white	SAMN15009470
DC	Anqing_Six-end-white	SAMN15009471
DC	Anqing_Six-end-white	SAMN15009472
DC	Anqing_Six-end-white	SAMN15009473
DC	Anqing_Six-end-white	SAMN15009474
DC	Anqing_Six-end-white	SAMN15009475
DC	Anqing_Six-end-white	SAMN15009476
DC	Anqing_Six-end-white	SAMN15009477
DC	Anqing_Six-end-white	SAMN15009478
DC	Anqing_Six-end-white	SAMN15009479
DC	Anqing_Six-end-white	SAMN15009480
DC	Anqing_Six-end-white	SAMN15009481
DC	Anqing_Six-end-white	SAMN15009482
DC	Anqing_Six-end-white	SAMN15009483
DC	Anqing_Six-end-white	SAMN15009484
DC	Min	SAMN16550665
DC	Min	SAMN16550667
DC	Laiwu	SAMN20353414
DC	Laiwu	SAMN20353415
DC	Laiwu	SAMN20353416
DC	Laiwu	SAMN20353417
DC	Laiwu	SAMN20353418
DC	Laiwu	SAMN20353419
DC	Lulai_black	SAMN20353420
DC	Lulai_black	SAMN20353421
DC	Lulai_black	SAMN20353424
DC	Lulai_black	SAMN20353425
DC	Lulai_black	SAMN20353426
DC	Lulai_black	SAMN20353427
